epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,5.09895,1.92912,6.64814,1.69639,0.52856,1,0.63686,0.34219,1.01067,3.93549,1.24502,2e-05,2e-05,2e-05
2,6.4787,1.66779,4.61586,1.37182,0.67076,0.83333,0.6837,0.37387,1.08798,3.88622,1.27708,5.9406e-05,5.9406e-05,5.9406e-05
3,7.59183,1.52142,5.54853,1.36847,0.64165,0.83333,0.6837,0.38277,1.09981,3.88975,1.2727,9.802e-05,9.802e-05,9.802e-05
4,8.84858,1.62526,5.22412,1.47991,0.54133,0.83333,0.61931,0.38774,0.84745,5.24217,1.02243,0.000135842,0.000135842,0.000135842
5,10.4617,1.35711,3.62417,1.28105,0.6632,0.66667,0.70627,0.45423,0.88749,5.83905,0.97943,0.000172872,0.000172872,0.000172872
6,11.979,0.77658,1.95146,0.93866,0.59068,1,0.88243,0.59918,0.94509,4.41724,0.95244,0.00020911,0.00020911,0.00020911
7,13.3045,0.7698,1.92137,1.01963,0.82801,1,0.97214,0.69474,0.91003,3.80222,0.97517,0.000244556,0.000244556,0.000244556
8,15.0642,0.74129,1.63603,0.88775,0.98061,1,0.995,0.74352,1.09938,2.83621,1.23052,0.00027921,0.00027921,0.00027921
9,16.746,1.08805,2.42305,1.24656,0.97539,0.66667,0.8451,0.60752,1.11709,3.33437,1.25197,0.000313072,0.000313072,0.000313072
10,18.0999,0.71864,1.53497,1.0344,1,0.51358,0.69755,0.50459,1.07377,3.72449,1.24906,0.000346142,0.000346142,0.000346142
11,19.5034,0.66823,1.5494,0.97935,1,0.49489,0.70183,0.49427,1.04391,2.70973,1.26542,0.00037842,0.00037842,0.00037842
12,20.9583,1.00853,1.1575,1.02422,0.40451,0.83333,0.61755,0.47255,0.95311,2.47686,1.19716,0.000409906,0.000409906,0.000409906
13,22.4249,0.83342,1.13587,1.01088,0.12338,1,0.12978,0.07501,1.07775,4.1645,1.28087,0.0004406,0.0004406,0.0004406
14,23.8699,0.69733,0.87837,0.99514,0.23813,0.83333,0.26122,0.17016,1.10772,3.96688,1.27643,0.000470502,0.000470502,0.000470502
15,25.2306,0.56781,0.79024,0.96325,0.47298,0.83333,0.77333,0.58908,0.84081,3.02922,1.1253,0.000499612,0.000499612,0.000499612
16,26.4473,0.9457,1.36736,1.39437,0.52693,0.66667,0.62564,0.47505,0.82077,3.08111,1.12158,0.00052793,0.00052793,0.00052793
