epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,5.66399,1.52324,3.40962,0.93545,0.64994,0.85622,0.78761,0.54341,1.31282,1.15904,0.84248,0.09109,9e-05,9e-05
2,10.6035,1.16367,0.88516,0.861,0.98103,0.28954,0.65687,0.40446,1.29921,2.08036,0.8507,0.0811887,0.000188746,0.000188746
3,15.3095,1.09781,0.72828,0.85817,0.87172,0.76716,0.93425,0.62425,1.19678,1.13451,0.8365,0.0712862,0.000286172,0.000286172
4,20.2495,1.10323,0.6682,0.849,0.96155,0.82219,0.96507,0.63374,1.04263,0.72677,0.81509,0.0613823,0.000382278,0.000382278
5,25.005,1.06392,0.62217,0.84142,0.9388,0.95336,0.97987,0.60447,1.45451,0.87906,0.84464,0.0514771,0.000477064,0.000477064
6,29.6438,1.08682,0.64134,0.84914,0.95887,0.97675,0.99164,0.62206,1.22726,0.82321,0.81503,0.0415705,0.00057053,0.00057053
7,34.2457,1.07394,0.61471,0.83306,0.81695,0.97547,0.98262,0.58694,1.26527,0.77775,0.82869,0.0316627,0.000662676,0.000662676
8,38.8437,1.02081,0.58661,0.83951,0.95154,0.95866,0.97856,0.64097,1.33266,0.79499,0.82895,0.0217535,0.000753502,0.000753502
9,43.504,0.98848,0.56883,0.84214,0.83551,0.93764,0.98919,0.56811,1.32725,0.92101,0.82674,0.011843,0.000843008,0.000843008
10,48.137,0.96168,0.54014,0.8315,0.97639,0.9834,0.99047,0.5409,1.43286,0.77775,0.83506,0.00193119,0.000931194,0.000931194
11,52.6026,0.94791,0.5241,0.8273,0.95355,0.90877,0.9878,0.57883,1.16805,0.59978,0.82209,0.000934,0.000934,0.000934
12,57.157,0.98259,0.53026,0.83037,0.97631,0.98779,0.99382,0.74107,0.98179,0.59898,0.80634,0.0009274,0.0009274,0.0009274
13,61.8739,0.94095,0.51597,0.82449,0.95804,0.98647,0.99178,0.68682,0.95228,0.59591,0.80326,0.0009208,0.0009208,0.0009208
14,66.4944,0.97397,0.52524,0.83134,0.9748,0.98653,0.99151,0.64572,0.89617,0.51329,0.80237,0.0009142,0.0009142,0.0009142
15,71.0187,0.99973,0.51642,0.83532,0.98843,0.98816,0.99076,0.69004,1.04746,0.56639,0.80385,0.0009076,0.0009076,0.0009076
16,75.7253,1.00684,0.5266,0.8335,0.96659,0.98626,0.99276,0.69503,1.1515,0.57031,0.82032,0.000901,0.000901,0.000901
17,80.2876,0.95808,0.50895,0.82745,0.99252,0.98813,0.99359,0.75642,0.83072,0.51299,0.79554,0.0008944,0.0008944,0.0008944
18,85.0147,0.96418,0.49876,0.82853,0.98644,0.99031,0.99377,0.69751,1.06938,0.50683,0.81053,0.0008878,0.0008878,0.0008878
19,89.5796,0.97013,0.50347,0.82746,0.98478,0.99027,0.99404,0.71285,0.93572,0.47947,0.80367,0.0008812,0.0008812,0.0008812
20,94.2616,0.90154,0.47949,0.82307,0.97679,0.99154,0.99399,0.74279,0.85098,0.47297,0.79919,0.0008746,0.0008746,0.0008746
21,98.9074,0.89799,0.47021,0.8203,0.98858,0.99115,0.99381,0.7257,0.96789,0.50415,0.80193,0.000868,0.000868,0.000868
22,103.793,0.91238,0.46609,0.82487,0.98505,0.99109,0.99399,0.76377,0.74876,0.42475,0.78932,0.0008614,0.0008614,0.0008614
23,108.889,0.89575,0.46312,0.81679,0.96222,0.98926,0.99331,0.69638,0.9591,0.49198,0.79875,0.0008548,0.0008548,0.0008548
24,113.572,0.87441,0.45858,0.81736,0.97953,0.98915,0.99359,0.73472,0.74965,0.41985,0.79276,0.0008482,0.0008482,0.0008482
25,118.173,0.86056,0.45631,0.81659,0.98292,0.98944,0.99341,0.67753,1.06141,0.51127,0.80468,0.0008416,0.0008416,0.0008416
26,122.857,0.87973,0.4665,0.81747,0.9735,0.98123,0.99367,0.74345,0.82629,0.42243,0.79597,0.000835,0.000835,0.000835
27,127.541,0.86177,0.46231,0.82106,0.98306,0.98713,0.99424,0.74962,0.90639,0.46076,0.79976,0.0008284,0.0008284,0.0008284
28,132.232,0.86239,0.44698,0.81897,0.99023,0.9847,0.99396,0.75563,0.78017,0.41567,0.79478,0.0008218,0.0008218,0.0008218
29,136.787,0.85628,0.45313,0.81449,0.99147,0.98737,0.99388,0.74921,0.83843,0.44088,0.79536,0.0008152,0.0008152,0.0008152
30,141.387,0.83928,0.43326,0.81341,0.98847,0.98483,0.99458,0.79562,0.67711,0.3942,0.78462,0.0008086,0.0008086,0.0008086
31,146.067,0.85978,0.44775,0.82217,0.98962,0.98934,0.99473,0.79837,0.70139,0.4064,0.78125,0.000802,0.000802,0.000802
32,150.867,0.84044,0.43465,0.80986,0.97942,0.98393,0.99485,0.7656,0.79952,0.42274,0.79042,0.0007954,0.0007954,0.0007954
33,155.396,0.83133,0.43761,0.82069,0.99342,0.99002,0.99485,0.7918,0.69982,0.39431,0.78616,0.0007888,0.0007888,0.0007888
34,160.039,0.81318,0.42559,0.81406,0.98788,0.9915,0.99492,0.81526,0.67768,0.38068,0.7826,0.0007822,0.0007822,0.0007822
35,164.751,0.83131,0.4307,0.81897,0.98641,0.99111,0.99488,0.81239,0.68386,0.38089,0.78412,0.0007756,0.0007756,0.0007756
36,169.279,0.81647,0.42792,0.8146,0.99037,0.99149,0.99479,0.80966,0.6898,0.38751,0.78354,0.000769,0.000769,0.000769
37,173.754,0.83232,0.43073,0.81522,0.99356,0.99055,0.99475,0.76583,0.90041,0.44118,0.79382,0.0007624,0.0007624,0.0007624
38,178.372,0.79236,0.43269,0.81453,0.98785,0.99075,0.99482,0.79837,0.65843,0.39189,0.78486,0.0007558,0.0007558,0.0007558
39,183.148,0.84209,0.44643,0.82602,0.96369,0.9869,0.99476,0.75146,0.85721,0.44989,0.78902,0.0007492,0.0007492,0.0007492
40,187.955,0.8429,0.44206,0.8173,0.99258,0.98809,0.99438,0.7539,0.75906,0.45992,0.78529,0.0007426,0.0007426,0.0007426
41,192.62,0.83609,0.4427,0.81628,0.98869,0.98795,0.99423,0.70568,0.90856,0.4845,0.79349,0.000736,0.000736,0.000736
42,197.283,0.84659,0.44097,0.81288,0.98926,0.98867,0.99465,0.7419,0.90067,0.47568,0.79839,0.0007294,0.0007294,0.0007294
43,201.942,0.84995,0.44465,0.81921,0.99063,0.9897,0.99442,0.8068,0.61674,0.37695,0.78489,0.0007228,0.0007228,0.0007228
44,206.425,0.81026,0.42148,0.81457,0.99472,0.98963,0.9941,0.742,0.84233,0.41898,0.79205,0.0007162,0.0007162,0.0007162
45,211.044,0.88404,0.44182,0.8183,0.99449,0.99155,0.99398,0.72436,0.87776,0.41252,0.79396,0.0007096,0.0007096,0.0007096
46,215.636,0.88291,0.44503,0.82094,0.98377,0.99054,0.99386,0.77877,0.71185,0.38331,0.78613,0.000703,0.000703,0.000703
